Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,185.639999,185.639999,185.639999,185.639999,000,185.639999
2015-12-31,188.479996,188.479996,188.479996,188.479996,000,188.479996
2015-12-30,190.270004,190.270004,190.270004,190.270004,000,190.270004
2015-12-29,191.639999,191.639999,191.639999,191.639999,000,191.639999
2015-12-28,189.580002,189.580002,189.580002,189.580002,000,189.580002
2015-12-24,190.00,190.00,190.00,190.00,000,190.00
2015-12-23,190.300003,190.300003,190.300003,190.300003,000,190.300003
2015-12-22,187.949997,187.949997,187.949997,187.949997,000,187.949997
2015-12-21,186.289993,186.289993,186.289993,186.289993,000,186.289993
2015-12-18,184.830002,184.830002,184.830002,184.830002,000,184.830002
2015-12-17,189.300003,189.300003,189.300003,189.300003,000,188.197999
2015-12-16,192.160004,192.160004,192.160004,192.160004,000,191.041351
2015-12-15,189.399994,189.399994,189.399994,189.399994,000,188.297408
2015-12-14,187.399994,187.399994,187.399994,187.399994,000,186.309051
2015-12-11,186.50,186.50,186.50,186.50,000,185.414297
2015-12-10,190.169998,190.169998,190.169998,190.169998,000,189.06293
2015-12-09,189.720001,189.720001,189.720001,189.720001,000,188.615553
2015-12-08,191.190002,191.190002,191.190002,191.190002,000,190.076996
2015-12-07,192.419998,192.419998,192.419998,192.419998,000,191.299832
2015-12-04,193.759995,193.759995,193.759995,193.759995,000,192.632027
2015-12-03,189.860001,189.860001,189.860001,189.860001,000,188.754737
2015-12-02,192.619995,192.619995,192.619995,192.619995,000,191.498664
2015-12-01,194.720001,194.720001,194.720001,194.720001,000,193.586445
2015-11-30,192.649994,192.649994,192.649994,192.649994,000,191.528488
2015-11-27,193.539993,193.539993,193.539993,193.539993,000,192.413307
2015-11-25,193.380005,193.380005,193.380005,193.380005,000,192.25425
2015-11-24,193.380005,193.380005,193.380005,193.380005,000,192.25425
2015-11-23,193.139999,193.139999,193.139999,193.139999,000,192.015641
2015-11-20,193.380005,193.380005,193.380005,193.380005,000,192.25425
2015-11-19,192.610001,192.610001,192.610001,192.610001,000,191.488728
2015-11-18,192.820007,192.820007,192.820007,192.820007,000,191.697512
2015-11-17,189.729996,189.729996,189.729996,189.729996,000,188.625489
2015-11-16,189.940002,189.940002,189.940002,189.940002,000,188.834273
2015-11-13,187.119995,187.119995,187.119995,187.119995,000,186.030682
2015-11-12,189.240005,189.240005,189.240005,189.240005,000,188.138351
2015-11-11,191.889999,191.889999,191.889999,191.889999,000,190.772918
2015-11-10,192.509995,192.509995,192.509995,192.509995,000,191.389304
